SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
金門,金門縣,56,細懸浮微粒,普通,2.1,0.17,35,38.0,30,18,5.8,6.2,0.4,0.9,100.0,2017-05-23 00:00,,0.2,18.0,27,,,,
馬公,澎湖縣,38,,良好,1.3,0.14,39,41.0,26,11,2.5,3.4,0.9,1.1,301.0,2017-05-23 00:00,,0.2,11.0,29,,,,
關山,臺東縣,19,,良好,0.8,,22,21.0,8,5,1.8,4.3,2.5,0.5,329.0,2017-05-23 00:00,,,5.0,10,,,,
麥寮,雲林縣,58,細懸浮微粒,普通,2.6,0.15,35,46.0,39,17,7.3,7.6,0.2,0.9,235.0,2017-05-23 00:00,,0.2,18.0,48,,,,
基隆,基隆市,23.0,,良好,0.7,0.24,7.7,14.0,20.0,5,9.3,11.0,1.2,0.5,90.0,2017-05-23 05:00,,0.3,7.0,21.0,,,,
汐止,新北市,37.0,,良好,1.6,0.29,2.2,5.0,25.0,10,13.0,27.0,14.0,0.7,238.0,2017-05-23 05:00,,0.4,11.0,23.0,,,,
萬里,新北市,21.0,,良好,3.1,0.17,14,13.0,20.0,7,2.0,2.9,0.9,1.6,177.0,2017-05-23 05:00,,0.1,7.0,22.0,,,,
新店,新北市,26.0,,良好,1.6,0.2,13,13.0,22.0,5,7.5,8.7,1.2,1.0,150.0,2017-05-23 05:00,,0.3,8.0,23.0,,,,
土城,新北市,25.0,,良好,2.0,0.27,4.1,7.0,25.0,9,15.0,19.0,4.6,1.1,158.0,2017-05-23 05:00,,0.4,8.0,22.0,,,,
板橋,新北市,26.0,,良好,1.9,0.41,4.4,10.0,21.0,8,19.0,21.0,1.6,0.4,114.0,2017-05-23 05:00,,0.4,8.0,21.0,,,,
新莊,新北市,25.0,,良好,2.4,0.53,3,10.0,25.0,7,23.0,30.0,6.8,0.4,261.0,2017-05-23 05:00,,0.5,8.0,23.0,,,,
菜寮,新北市,38.0,,良好,1.9,0.24,14,17.0,23.0,10,8.5,9.3,0.8,0.5,199.0,2017-05-23 05:00,,0.4,12.0,20.0,,,,
林口,新北市,45.0,,良好,4.9,0.34,13,19.0,47.0,27,24.0,26.0,2.0,1.8,261.0,2017-05-23 05:00,,0.3,14.0,29.0,,,,
士林,臺北市,23.0,,良好,1.5,0.3,6.6,20.0,21.0,7,14.0,17.0,2.9,0.6,288.0,2017-05-23 05:00,,0.3,7.0,22.0,,,,
中山,臺北市,27.0,,良好,1.9,0.41,6.5,12.0,19.0,7,20.0,27.0,6.4,1.1,253.0,2017-05-23 05:00,,0.5,8.0,19.0,,,,
萬華,臺北市,22.0,,良好,1.2,0.21,16,14.0,10.0,7,7.3,8.7,1.4,1.2,167.0,2017-05-23 05:00,,0.3,7.0,19.0,,,,
古亭,臺北市,31.0,,良好,1.3,0.24,15,15.0,29.0,ND,8.8,10.0,1.4,0.9,154.0,2017-05-23 05:00,,0.4,4.0,34.0,,,,
松山,臺北市,27.0,,良好,1.5,0.33,8.7,8.0,17.0,4,14.0,15.0,1.4,1.0,211.0,2017-05-23 05:00,,0.4,8.0,26.0,,,,
基隆,基隆市,28,,良好,1.7,0.23,22,30.0,19,8,6.4,8.2,1.8,1.1,270.0,2017-05-23 00:00,,0.2,6.0,16,,,,
汐止,新北市,38,,良好,1.7,0.42,7.8,19.0,21,10,18.0,22.0,4.5,0.6,92.0,2017-05-23 00:00,,0.4,12.0,19,,,,
萬里,新北市,34,,良好,0.7,0.14,13,26.0,24,11,3.0,4.4,1.4,3.5,156.0,2017-05-23 00:00,,0.2,11.0,25,,,,
新店,新北市,19,,良好,1.5,0.34,16,19.0,18,8,16.0,17.0,1.8,0.8,135.0,2017-05-23 00:00,,0.5,6.0,20,,,,
土城,新北市,26,,良好,1.8,0.51,3.6,19.0,21,9,21.0,27.0,6.2,0.8,180.0,2017-05-23 00:00,,0.5,8.0,21,,,,
板橋,新北市,36,,良好,2.1,0.56,8.7,15.0,21,10,25.0,30.0,4.8,1.2,55.0,2017-05-23 00:00,,0.6,11.0,25,,,,
新莊,新北市,23,,良好,1.6,0.5,14,19.0,22,7,19.0,21.0,1.8,1.2,79.0,2017-05-23 00:00,,0.5,7.0,22,,,,
菜寮,新北市,44,,良好,1.7,0.41,20,23.0,14,13,15.0,16.0,1.2,1.1,83.0,2017-05-23 00:00,,0.4,13.0,19,,,,
林口,新北市,36,,良好,1.9,0.3,20,21.0,21,7,15.0,16.0,1.5,3.3,129.0,2017-05-23 00:00,,0.3,11.0,26,,,,
淡水,新北市,39,,良好,2.2,0.32,18,18.0,24,6,10.0,12.0,1.4,,,2017-05-23 00:00,,0.2,12.0,27,,,,
士林,臺北市,40,,良好,1.0,0.33,20,25.0,16,6,15.0,15.0,0.6,1.6,126.0,2017-05-23 00:00,,0.2,12.0,23,,,,
中山,臺北市,29,,良好,1.6,0.48,15,15.0,22,9,22.0,26.0,4.8,2.2,115.0,2017-05-23 00:00,,0.6,9.0,23,,,,
萬華,臺北市,30,,良好,2.6,0.4,13,17.0,25,15,21.0,24.0,2.3,1.3,94.0,2017-05-23 00:00,,0.4,9.0,22,,,,
古亭,臺北市,30,,良好,2.4,0.38,18,18.0,37,7,16.0,19.0,2.5,1.6,108.0,2017-05-23 00:00,,0.5,7.0,32,,,,
松山,臺北市,33,,良好,2.7,0.46,5.1,16.0,30,14,23.0,30.0,6.4,1.0,68.0,2017-05-23 00:00,,0.4,10.0,24,,,,
大同,臺北市,41,,良好,2.5,1.04,-,,41,11,27.0,52.0,25.0,,,2017-05-23 00:00,,1.1,12.0,44,,,,
桃園,桃園市,45,,良好,9.7,0.51,10,17.0,22,18,22.0,23.0,1.1,0.9,100.0,2017-05-23 00:00,,0.5,14.0,26,,,,
大園,桃園市,34,,良好,2.4,0.41,7.8,13.0,30,9,21.0,24.0,2.7,2.1,161.0,2017-05-23 00:00,,0.5,11.0,34,,,,
觀音,桃園市,37,,良好,4.6,0.51,4.2,18.0,36,13,29.0,32.0,2.5,1.0,79.0,2017-05-23 00:00,,0.4,11.0,37,,,,
平鎮,桃園市,33,,良好,2.4,0.51,7.3,22.0,22,4,25.0,27.0,2.3,1.2,150.0,2017-05-23 00:00,,0.5,9.0,36,,,,
龍潭,桃園市,53,細懸浮微粒,普通,1.9,0.31,8.5,18.0,36,14,18.0,20.0,2.6,1.0,148.0,2017-05-23 00:00,,0.5,17.0,42,,,,
湖口,新竹縣,56,細懸浮微粒,普通,2.9,0.41,6,22.0,28,16,20.0,24.0,3.1,1.1,171.0,2017-05-23 00:00,,0.4,18.0,30,,,,
竹東,新竹縣,65,細懸浮微粒,普通,3.6,0.43,11,23.0,38,23,9.6,10.0,0.8,1.2,133.0,2017-05-23 00:00,,0.4,21.0,42,,,,
新竹,新竹市,43,,良好,2.3,0.58,13,24.0,35,13,21.0,25.0,3.2,0.5,105.0,2017-05-23 00:00,,0.5,13.0,34,,,,
頭份,苗栗縣,91,細懸浮微粒,普通,9.4,0.37,27,37.0,64,41,26.0,27.0,0.7,1.0,181.0,2017-05-23 00:00,,0.4,32.0,52,,,,
苗栗,苗栗縣,72,細懸浮微粒,普通,2.5,0.48,23,41.0,65,30,17.0,19.0,2.0,0.5,17.0,2017-05-23 00:00,,0.5,24.0,58,,,,
三義,苗栗縣,81,細懸浮微粒,普通,2.0,0.28,32,45.0,48,23,6.8,7.6,0.9,2.3,191.0,2017-05-23 00:00,,0.3,28.0,52,,,,
豐原,臺中市,81,細懸浮微粒,普通,2.9,0.24,40,47.0,30,7,5.7,6.9,1.2,3.0,194.0,2017-05-23 00:00,,0.4,28.0,46,,,,
沙鹿,臺中市,73,細懸浮微粒,普通,4.1,0.42,29,41.0,52,28,20.0,21.0,1.8,1.9,208.0,2017-05-23 00:00,,0.4,24.0,46,,,,
大里,臺中市,72,細懸浮微粒,普通,2.0,0.42,12,31.0,49,23,19.0,20.0,0.8,1.6,229.0,2017-05-23 00:00,,0.5,24.0,58,,,,
忠明,臺中市,74,細懸浮微粒,普通,2.8,0.34,25,38.0,36,21,15.0,15.0,0.7,1.7,175.0,2017-05-23 00:00,,0.4,25.0,45,,,,
西屯,臺中市,68,細懸浮微粒,普通,3.0,0.35,27,42.0,59,17,17.0,18.0,1.2,1.7,192.0,2017-05-23 00:00,,0.4,22.0,58,,,,
彰化,彰化縣,76,細懸浮微粒,普通,3.3,0.36,22,40.0,58,30,15.0,16.0,0.7,1.7,177.0,2017-05-23 00:00,,0.4,26.0,48,,,,
線西,彰化縣,65,細懸浮微粒,普通,2.7,0.16,44,57.0,39,16,3.3,4.3,0.9,0.4,237.0,2017-05-23 00:00,,0.2,21.0,43,,,,
二林,彰化縣,44,,良好,2.3,0.22,29,43.0,44,19,7.1,8.0,0.9,0.9,264.0,2017-05-23 00:00,,0.2,14.0,43,,,,
南投,南投縣,57,細懸浮微粒,普通,1.8,0.32,15,24.0,50,16,11.0,12.0,0.9,1.5,182.0,2017-05-23 00:00,,0.4,18.0,43,,,,
斗六,雲林縣,76,細懸浮微粒,普通,4.0,0.3,26,41.0,61,27,15.0,15.0,0.5,1.2,244.0,2017-05-23 00:00,,0.4,26.0,55,,,,
崙背,雲林縣,44,,良好,1.7,0.16,31,48.0,31,6,6.8,7.8,0.9,1.1,237.0,2017-05-23 00:00,,0.2,12.0,36,,,,
新港,嘉義縣,43,,良好,1.7,0.17,38,46.0,33,8,5.4,6.2,0.9,1.0,271.0,2017-05-23 00:00,,0.2,13.0,38,,,,
朴子,嘉義縣,54,臭氧八小時,普通,1.7,0.15,51,56.0,42,8,5.2,7.4,2.2,1.0,243.0,2017-05-23 00:00,,0.2,14.0,43,,,,
臺西,雲林縣,55,細懸浮微粒,普通,4.0,0.11,47,51.0,33,16,3.8,4.3,0.5,1.7,273.0,2017-05-23 00:00,,0.2,17.0,34,,,,
嘉義,嘉義市,76,細懸浮微粒,普通,4.4,0.3,24,39.0,43,23,12.0,13.0,0.6,0.5,103.0,2017-05-23 00:00,,0.3,26.0,39,,,,
新營,臺南市,56,細懸浮微粒,普通,2.0,0.3,24,41.0,53,10,10.0,11.0,1.1,1.1,192.0,2017-05-23 00:00,,0.3,17.0,49,,,,
善化,臺南市,56,細懸浮微粒,普通,5.8,0.29,12,30.0,43,20,16.0,18.0,1.6,0.7,84.0,2017-05-23 00:00,,0.3,18.0,36,,,,
安南,臺南市,42,,良好,1.6,0.22,46,45.0,34,13,6.7,8.3,1.6,1.6,216.0,2017-05-23 00:00,,0.2,13.0,36,,,,
臺南,臺南市,47,,良好,2.2,0.26,48,47.0,16,12,6.5,6.8,0.2,1.0,191.0,2017-05-23 00:00,,0.3,14.0,25,,,,
美濃,高雄市,58,細懸浮微粒,普通,1.1,0.23,17,29.0,31,16,6.0,7.0,1.0,0.8,78.0,2017-05-23 00:00,,0.2,18.0,28,,,,
橋頭,高雄市,60,細懸浮微粒,普通,2.2,0.22,31,30.0,37,18,5.9,6.4,0.5,1.2,246.0,2017-05-23 00:00,,0.3,19.0,36,,,,
仁武,高雄市,57,細懸浮微粒,普通,4.2,0.27,27,37.0,58,25,13.0,14.0,0.8,0.8,89.0,2017-05-23 00:00,,0.2,18.0,50,,,,
鳳山,高雄市,47,,良好,2.8,0.37,22,27.0,41,7,12.0,13.0,0.4,0.9,179.0,2017-05-23 00:00,,0.5,14.0,38,,,,
大寮,高雄市,32,,良好,2.2,0.23,17,24.0,36,9,10.0,12.0,1.4,0.5,139.0,2017-05-23 00:00,,0.2,8.0,35,,,,
林園,高雄市,42,,良好,2.8,0.12,33,37.0,20,12,6.6,7.5,0.9,1.2,269.0,2017-05-23 00:00,,0.1,13.0,19,,,,
楠梓,高雄市,41,,良好,1.4,0.25,30,38.0,34,15,9.0,9.7,0.7,1.0,275.0,2017-05-23 00:00,,0.3,13.0,41,,,,
左營,高雄市,44,,良好,2.2,0.17,35,38.0,28,3,6.8,7.3,0.6,1.6,267.0,2017-05-23 00:00,,0.2,13.0,30,,,,
前金,高雄市,36,,良好,3.3,0.16,36,39.0,17,ND,5.8,6.0,0.2,1.2,268.0,2017-05-23 00:00,,0.2,9.0,27,,,,
前鎮,高雄市,32,,良好,5.6,0.17,23,29.0,24,5,14.0,14.0,0.6,1.2,306.0,2017-05-23 00:00,,0.2,10.0,28,,,,
小港,高雄市,34,,良好,8.8,0.14,23,30.0,31,9,20.0,20.0,0.7,1.3,271.0,2017-05-23 00:00,,0.2,11.0,32,,,,
屏東,屏東縣,44,,良好,2.3,0.4,21,30.0,34,6,13.0,14.0,0.8,1.2,176.0,2017-05-23 00:00,,0.3,14.0,34,,,,
潮州,屏東縣,56,細懸浮微粒,普通,1.1,0.15,23,33.0,34,11,6.9,6.7,-0.2,1.2,117.0,2017-05-23 00:00,,0.2,18.0,42,,,,
恆春,屏東縣,30,,良好,1.2,0.07,29,32.0,15,2,1.1,2.4,1.3,4.9,29.0,2017-05-23 00:00,,0.1,3.0,17,,,,
臺東,臺東縣,18,,良好,1.0,0.17,17,19.0,19,4,2.4,2.9,0.6,1.8,297.0,2017-05-23 00:00,,0.3,5.0,15,,,,
花蓮,花蓮縣,25,,良好,1.1,0.16,24,27.0,14,,3.0,4.9,1.9,2.0,240.0,2017-05-23 00:00,,0.3,,24,,,,
陽明,臺北市,31,,良好,2.3,0.13,40,34.0,11,6,1.1,2.1,0.9,,,2017-05-23 00:00,,0.1,8.0,10,,,,
宜蘭,宜蘭縣,24,,良好,2.3,0.19,14,24.0,24,5,5.8,6.4,0.6,0.9,181.0,2017-05-23 00:00,,0.2,5.0,26,,,,
冬山,宜蘭縣,23,,良好,0.7,0.14,14,19.0,24,ND,3.0,4.6,1.6,0.6,170.0,2017-05-23 00:00,,0.2,5.0,25,,,,
三重,新北市,45,,良好,3.0,0.78,-,,41,8,27.0,50.0,23.0,,,2017-05-23 00:00,,1.5,14.0,47,,,,
中壢,桃園市,43,,良好,4.3,1.01,4.3,7.0,45,9,28.0,46.0,18.0,1.5,203.0,2017-05-23 00:00,,1.8,11.0,46,,,,
竹山,南投縣,65,細懸浮微粒,普通,2.1,0.27,15,39.0,35,17,11.0,12.0,1.0,1.1,147.0,2017-05-23 00:00,,0.3,21.0,39,,,,
永和,新北市,39,,良好,0.6,0.44,18,20.0,24,14,16.0,18.0,2.0,1.0,107.0,2017-05-23 00:00,,0.6,12.0,20,,,,
復興,高雄市,40,,良好,6.6,0.75,22,28.0,21,11,18.0,18.0,0.7,0.5,203.0,2017-05-23 00:00,,0.7,12.0,25,,,,
埔里,南投縣,56,細懸浮微粒,普通,3.0,0.31,12,18.0,32,13,11.0,12.0,1.5,0.9,172.0,2017-05-23 00:00,,0.4,17.0,30,,,,
馬祖,連江縣,46,,良好,2.2,0.13,43,49.0,42,15,2.5,3.0,0.5,2.5,51.0,2017-05-23 00:00,,0.2,14.0,42,,,,
基隆,基隆市,24,,良好,1.9,0.28,10,26.0,21,7,9.4,12.0,2.5,0.6,279.0,2017-05-23 01:00,,0.3,6,17,,,,
汐止,新北市,40,,良好,2.2,0.4,3.5,15.0,19,13,19.0,25.0,6.3,1.1,47.0,2017-05-23 01:00,,0.4,12,19,,,,
萬里,新北市,31,,良好,1.3,0.13,15,22.0,24,8,2.4,3.6,1.3,3.8,148.0,2017-05-23 01:00,,0.2,10,24,,,,
新店,新北市,23,,良好,1.1,0.36,12,16.0,23,9,17.0,19.0,1.7,1.0,153.0,2017-05-23 01:00,,0.5,7,20,,,,
土城,新北市,27,,良好,1.6,0.37,4.4,15.0,24,11,17.0,25.0,7.8,0.9,133.0,2017-05-23 01:00,,0.5,8,22,,,,
板橋,新北市,33,,良好,1.8,0.37,16,13.0,21,7,16.0,18.0,2.2,1.0,63.0,2017-05-23 01:00,,0.6,10,24,,,,
新莊,新北市,23,,良好,1.7,0.44,13,17.0,26,7,20.0,22.0,1.9,1.4,74.0,2017-05-23 01:00,,0.5,7,23,,,,
菜寮,新北市,41,,良好,1.4,0.33,20,22.0,17,11,12.0,13.0,0.8,1.7,116.0,2017-05-23 01:00,,0.4,13,18,,,,
林口,新北市,36,,良好,1.8,0.29,20,21.0,20,9,14.0,15.0,1.4,2.3,136.0,2017-05-23 01:00,,0.3,11,25,,,,
關山,臺東縣,19,,良好,0.7,,20,21.0,8,3,2.0,4.3,2.3,0.5,295.0,2017-05-23 01:00,,,5,9,,,,
麥寮,雲林縣,58,細懸浮微粒,普通,2.5,0.13,37,43.0,37,20,6.2,6.2,-0.1,0.5,237.0,2017-05-23 01:00,,0.2,19,45,,,,
淡水,新北市,34,,良好,1.9,0.33,16,17.0,19,6,12.0,13.0,1.5,,,2017-05-23 01:00,,0.3,10,25,,,,
士林,臺北市,36,,良好,1.1,0.29,21,24.0,23,4,12.0,12.0,0.2,1.3,151.0,2017-05-23 01:00,,0.3,11,22,,,,
中山,臺北市,30,,良好,1.7,0.41,16,14.0,16,7,19.0,21.0,2.0,1.4,114.0,2017-05-23 01:00,,0.6,9,23,,,,
萬華,臺北市,34,,良好,2.5,0.36,15,15.0,26,13,18.0,19.0,1.2,1.0,109.0,2017-05-23 01:00,,0.4,11,24,,,,
古亭,臺北市,29,,良好,1.9,0.43,16,17.0,22,6,16.0,18.0,2.1,1.2,156.0,2017-05-23 01:00,,0.5,7,31,,,,
松山,臺北市,32,,良好,3.2,0.4,6.6,13.0,28,7,22.0,26.0,3.5,0.7,348.0,2017-05-23 01:00,,0.5,10,26,,,,
大同,臺北市,41,,良好,1.8,0.96,-,,45,6,20.0,34.0,14.0,,,2017-05-23 01:00,,1.1,11,44,,,,
桃園,桃園市,48,,良好,12.0,0.52,8.5,15.0,24,18,23.0,24.0,1.3,0.8,135.0,2017-05-23 01:00,,0.5,15,26,,,,
大園,桃園市,33,,良好,4.6,0.49,8.4,12.0,32,8,21.0,23.0,2.3,2.4,152.0,2017-05-23 01:00,,0.5,10,34,,,,
觀音,桃園市,37,,良好,6.7,0.52,0.9,13.0,37,11,37.0,43.0,6.1,2.2,102.0,2017-05-23 01:00,,0.4,11,37,,,,
平鎮,桃園市,33,,良好,1.2,0.42,7.8,16.0,42,8,23.0,25.0,2.1,1.2,120.0,2017-05-23 01:00,,0.5,9,36,,,,
龍潭,桃園市,53,細懸浮微粒,普通,1.9,0.32,7.8,12.0,30,9,14.0,17.0,2.6,1.1,173.0,2017-05-23 01:00,,0.5,16,40,,,,
湖口,新竹縣,58,細懸浮微粒,普通,3.1,0.36,17,16.0,35,21,17.0,20.0,2.6,1.1,177.0,2017-05-23 01:00,,0.4,18,31,,,,
竹東,新竹縣,67,細懸浮微粒,普通,1.5,0.38,13,17.0,47,23,6.1,6.6,0.5,1.4,136.0,2017-05-23 01:00,,0.4,22,42,,,,
新竹,新竹市,48,,良好,2.5,0.43,28,20.0,41,21,14.0,15.0,1.1,0.7,201.0,2017-05-23 01:00,,0.5,15,36,,,,
頭份,苗栗縣,97,細懸浮微粒,普通,4.7,0.36,32,32.0,66,41,17.0,18.0,0.7,0.7,270.0,2017-05-23 01:00,,0.4,34,55,,,,
苗栗,苗栗縣,75,細懸浮微粒,普通,2.7,0.4,26,35.0,63,25,14.0,15.0,1.8,1.5,206.0,2017-05-23 01:00,,0.5,25,60,,,,
三義,苗栗縣,77,細懸浮微粒,普通,1.5,0.21,30,40.0,39,20,4.6,5.6,1.0,2.9,194.0,2017-05-23 01:00,,0.3,26,49,,,,
豐原,臺中市,68,細懸浮微粒,普通,2.2,0.22,37,42.0,23,7,5.2,6.1,0.9,2.7,179.0,2017-05-23 01:00,,0.4,23,41,,,,
沙鹿,臺中市,76,細懸浮微粒,普通,4.5,0.36,30,38.0,52,31,16.0,18.0,1.8,2.4,185.0,2017-05-23 01:00,,0.4,26,48,,,,
大里,臺中市,73,細懸浮微粒,普通,2.0,0.34,13,28.0,41,19,16.0,17.0,1.2,1.9,204.0,2017-05-23 01:00,,0.5,24,55,,,,
忠明,臺中市,73,細懸浮微粒,普通,2.9,0.26,34,37.0,38,23,11.0,12.0,0.4,1.7,178.0,2017-05-23 01:00,,0.4,25,43,,,,
西屯,臺中市,69,細懸浮微粒,普通,3.6,0.35,27,39.0,60,27,16.0,17.0,1.3,1.7,195.0,2017-05-23 01:00,,0.4,23,59,,,,
彰化,彰化縣,75,細懸浮微粒,普通,2.9,0.21,28,36.0,63,20,12.0,12.0,0.5,1.7,196.0,2017-05-23 01:00,,0.4,25,50,,,,
線西,彰化縣,62,細懸浮微粒,普通,3.2,0.14,43,54.0,35,17,3.5,4.3,0.9,0.4,240.0,2017-05-23 01:00,,0.2,20,41,,,,
二林,彰化縣,47,,良好,2.3,0.17,29,39.0,30,16,5.5,6.5,1.0,1.3,245.0,2017-05-23 01:00,,0.2,15,41,,,,
南投,南投縣,55,細懸浮微粒,普通,2.0,0.28,15,21.0,50,16,11.0,12.0,0.8,0.6,197.0,2017-05-23 01:00,,0.4,17,45,,,,
斗六,雲林縣,76,細懸浮微粒,普通,3.3,0.25,30,38.0,61,24,12.0,13.0,0.5,1.4,254.0,2017-05-23 01:00,,0.4,26,56,,,,
崙背,雲林縣,40,,良好,1.9,0.15,25,43.0,38,9,6.9,7.8,0.9,1.1,240.0,2017-05-23 01:00,,0.2,11,36,,,,
新港,嘉義縣,41,,良好,1.3,0.16,36,43.0,46,14,4.9,6.0,1.1,1.1,244.0,2017-05-23 01:00,,0.2,13,39,,,,
朴子,嘉義縣,50,,良好,1.8,0.13,47,54.0,54,13,5.2,7.5,2.3,0.7,140.0,2017-05-23 01:00,,0.2,13,45,,,,
臺西,雲林縣,54,細懸浮微粒,普通,2.8,0.11,47,48.0,34,17,3.5,4.3,0.8,1.8,287.0,2017-05-23 01:00,,0.1,17,34,,,,
嘉義,嘉義市,73,細懸浮微粒,普通,5.2,0.3,27,36.0,46,24,9.9,10.0,0.6,0.8,203.0,2017-05-23 01:00,,0.3,25,40,,,,
新營,臺南市,53,細懸浮微粒,普通,2.0,0.26,22,38.0,49,20,9.0,9.9,1.0,1.1,193.0,2017-05-23 01:00,,0.3,16,48,,,,
善化,臺南市,59,細懸浮微粒,普通,3.8,0.24,16,27.0,42,23,13.0,14.0,1.3,1.3,138.0,2017-05-23 01:00,,0.3,19,37,,,,
安南,臺南市,43,,良好,2.3,0.2,45,46.0,32,11,6.0,7.8,1.8,1.6,238.0,2017-05-23 01:00,,0.2,12,36,,,,
臺南,臺南市,45,,良好,2.6,0.2,50,47.0,18,12,5.1,5.4,0.3,1.0,205.0,2017-05-23 01:00,,0.3,14,23,,,,
美濃,高雄市,57,細懸浮微粒,普通,1.3,0.21,17,27.0,27,19,5.2,6.4,1.1,1.2,21.0,2017-05-23 01:00,,0.2,18,28,,,,
橋頭,高雄市,59,細懸浮微粒,普通,2.0,0.21,30,30.0,35,15,5.3,5.6,0.3,1.2,236.0,2017-05-23 01:00,,0.3,19,36,,,,
仁武,高雄市,58,細懸浮微粒,普通,5.2,0.3,24,35.0,45,19,13.0,13.0,0.7,0.7,95.0,2017-05-23 01:00,,0.2,18,49,,,,
鳳山,高雄市,40,,良好,2.9,0.33,20,26.0,42,7,11.0,12.0,0.7,1.0,97.0,2017-05-23 01:00,,0.4,12,39,,,,
大寮,高雄市,33,,良好,2.5,0.2,17,22.0,35,9,10.0,11.0,1.0,1.2,84.0,2017-05-23 01:00,,0.2,8,36,,,,
林園,高雄市,40,,良好,4.6,0.09,34,36.0,15,10,5.3,6.2,0.9,0.8,261.0,2017-05-23 01:00,,0.1,12,19,,,,
楠梓,高雄市,44,,良好,1.5,0.23,34,37.0,45,14,6.1,6.8,0.7,1.0,307.0,2017-05-23 01:00,,0.3,13,42,,,,
左營,高雄市,40,,良好,4.3,0.15,34,38.0,25,10,6.6,7.0,0.4,1.2,266.0,2017-05-23 01:00,,0.2,12,29,,,,
前金,高雄市,35,,良好,3.6,0.15,33,38.0,16,8,7.3,7.8,0.6,1.2,314.0,2017-05-23 01:00,,0.2,8,25,,,,
前鎮,高雄市,29,,良好,3.3,0.16,28,29.0,19,5,9.0,9.5,0.5,0.6,279.0,2017-05-23 01:00,,0.2,9,26,,,,
小港,高雄市,31,,良好,5.2,0.13,29,30.0,45,7,13.0,14.0,0.9,1.6,283.0,2017-05-23 01:00,,0.2,10,33,,,,
屏東,屏東縣,37,,良好,2.6,0.36,24,28.0,30,6,9.8,10.0,0.7,1.2,148.0,2017-05-23 01:00,,0.4,11,33,,,,
潮州,屏東縣,47,,良好,1.0,0.16,16,29.0,38,7,7.1,7.2,0.1,1.0,106.0,2017-05-23 01:00,,0.2,15,41,,,,
恆春,屏東縣,30,,良好,0.6,0.07,30,32.0,20,2,1.1,2.1,1.0,2.5,37.0,2017-05-23 01:00,,0.1,3,17,,,,
臺東,臺東縣,17,,良好,0.7,0.14,21,18.0,18,2,2.1,2.8,0.7,1.1,299.0,2017-05-23 01:00,,0.3,4,16,,,,
花蓮,花蓮縣,44,,良好,0.7,0.14,20,25.0,18,14,2.6,4.0,1.4,2.4,227.0,2017-05-23 01:00,,0.3,13,22,,,,
陽明,臺北市,31,,良好,2.4,0.13,37,34.0,9,4,1.3,2.3,1.0,,,2017-05-23 01:00,,0.1,7,9,,,,
宜蘭,宜蘭縣,24,,良好,2.4,0.16,12,21.0,25,4,5.5,6.1,0.7,0.5,254.0,2017-05-23 01:00,,0.2,5,26,,,,
冬山,宜蘭縣,22,,良好,1.5,0.15,14,17.0,23,ND,4.1,5.8,1.6,1.1,226.0,2017-05-23 01:00,,0.2,4,24,,,,
三重,新北市,43,,良好,3.6,0.74,-,,30,4,27.0,50.0,23.0,,,2017-05-23 01:00,,1.5,13,46,,,,
中壢,桃園市,42,,良好,3.4,0.73,5.4,5.0,33,10,24.0,34.0,9.8,1.4,196.0,2017-05-23 01:00,,1.7,12,45,,,,
竹山,南投縣,61,細懸浮微粒,普通,1.8,0.23,14,34.0,35,16,9.4,11.0,1.2,0.6,259.0,2017-05-23 01:00,,0.3,20,38,,,,
永和,新北市,41,,良好,0.3,0.38,17,18.0,22,14,13.0,16.0,2.4,1.1,103.0,2017-05-23 01:00,,0.6,13,21,,,,
復興,高雄市,39,,良好,6.1,0.36,24,27.0,23,11,15.0,16.0,0.8,0.6,183.0,2017-05-23 01:00,,0.7,12,25,,,,
埔里,南投縣,55,細懸浮微粒,普通,2.6,0.27,13,18.0,33,18,8.9,10.0,1.5,0.6,360.0,2017-05-23 01:00,,0.4,17,31,,,,
馬祖,連江縣,45,,良好,2.6,0.14,37,48.0,34,14,3.4,3.9,0.5,2.3,85.0,2017-05-23 01:00,,0.2,14,41,,,,
金門,金門縣,56,細懸浮微粒,普通,2.1,0.16,33,37.0,33,21,5.0,5.5,0.5,0.4,52.0,2017-05-23 01:00,,0.2,18,28,,,,
馬公,澎湖縣,37,,良好,1.2,0.13,37,40.0,30,12,2.9,4.2,1.3,1.1,299.0,2017-05-23 01:00,,0.2,11,29,,,,
麥寮,雲林縣,59,細懸浮微粒,普通,3.0,0.11,36,41.0,47,20,6.3,6.0,-0.3,1.1,228.0,2017-05-23 02:00,,0.2,19,46,,,,
基隆,基隆市,22.0,,良好,0.7,0.29,5.8,20.0,22.0,7,9.7,12.0,2.2,0.5,255.0,2017-05-23 03:00,,0.3,7.0,20.0,,,,
汐止,新北市,38.0,,良好,2.0,0.41,1,9.0,26.0,11,16.0,28.0,11.0,0.6,262.0,2017-05-23 03:00,,0.4,12.0,21.0,,,,
萬里,新北市,25.0,,良好,2.8,0.13,13,15.0,22.0,3,1.5,2.6,1.1,1.1,141.0,2017-05-23 03:00,,0.2,8.0,24.0,,,,
